Region,r,p
Visual,0.153371735497223,0.12380212070406
Somatomotor,0.142802654724446,0.152198025425288
dAttention,0.181188825763131,0.0683821205932068
vAttention,0.170274303313219,0.0870791673514388
Limbic,0.180510758364726,0.069440109372402
Frontoparietal,0.189316082163848,0.0566883933019626
Default,0.176092148967378,0.0766627262853932
Amygdala,0.172747570373199,0.0825212134929142
dACC,0.168664488321246,0.0901518632710625
aInsula,0.158708652731552,0.111106403237081
